"id","region_id","name","description","capital","language","currency","time_zone","flag","banner_image","slug","meta_tag","meta_desc","updated_by_id","status","created_at","updated_at"
"1","2","Afghanistan",NULL,"Kabul",NULL,"Afghani (AFN) dsf",NULL,"twemoji_flag-afghanistan.png",NULL,"afghanistan","Find the Best Guide for Employer of Record (EOR) and PEO Services in Afghanistan | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Afghanistan. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider in Afghanistan today.","1","active","2023-01-04 07:51:52","2023-04-29 00:04:52"
"2","2","Armenia",NULL,"Yerevan",NULL,"Armenian Dram (AMD)",NULL,"twemoji_flag-armenia.png",NULL,"armenia",NULL,"FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Armenia. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider in Armenia today.","3","active","2023-06-29 15:00:39","2023-06-01 00:34:48"
"3","2","Azerbaijan",NULL,"Baku",NULL,"Azerbaijani Manat (AZN)",NULL,"twemoji_flag-azerbaijan.png",NULL,"azerbaijan","Find the Best Guide for Employer of Record (EOR) and PEO Services in Azerbaijan | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Azerbaijan. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider in Azerbaijan today.","1","active","2023-06-29 15:00:39","2023-04-17 18:52:51"
"4","2","Bahrain",NULL,"Manama",NULL,"Bahraini Dinar (BHD)",NULL,"twemoji_flag-bahrain.png",NULL,"bahrain","Find the Best Guide for Employer of Record (EOR) and PEO Services in Bahrain | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Bahrain. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","1","active","2023-06-29 15:00:39","2023-04-17 18:53:20"
"5","2","Bangladesh",NULL,"Dhaka",NULL,"Unknown",NULL,"twemoji_flag-bangladesh.png",NULL,"bangladesh",NULL,NULL,"1","active","2023-06-29 15:00:39","2023-04-17 18:53:24"
"6","2","Bhutan",NULL,"Thimphu",NULL,"Ngultrum (BTN)",NULL,"twemoji_flag-bhutan.png",NULL,"bhutan","Find the Best Guide for Employer of Record (EOR) and PEO Services in Bhutan | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Bhutan. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","1","active","2023-06-29 15:00:39","2023-04-12 10:23:13"
"7","2","Brunei",NULL,"Bandar Seri Begawan",NULL,"Brunei dollar (BND)",NULL,"twemoji_flag-brunei.png",NULL,"brunei","Find the Best Guide for Employer of Record (EOR) and PEO Services in Brunei | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Brunei. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","2","active","2023-06-29 15:00:39","2023-04-17 18:54:54"
"8","2","Cambodia",NULL,"Phnom Penh",NULL,"Cambodian Riel (KHR)",NULL,"twemoji_flag-cambodia.png",NULL,"cambodia","Find the Best Guide for Employer of Record (EOR) and PEO Services in Cambodia | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Cambodia. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","1","active","2023-06-29 15:00:39","2023-04-17 18:55:23"
"9","2","China",NULL,"Beijing",NULL,"Chinese Yuan (CNY)",NULL,"twemoji_flag-china.png",NULL,"china","Find the Best Guide for Employer of Record (EOR) and PEO Services in China | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in China. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","1","active","2023-06-29 15:00:39","2023-04-17 18:49:04"
"10","2","Cyprus",NULL,"Nicosia",NULL,"Euros (EUR)",NULL,"twemoji_flag-cyprus.png",NULL,"cyprus","Find the Best Guide for Employer of Record (EOR) and PEO Services in Cyprus | FindYourEOR","FindYourEOR provides a comprehensive guide to Employer of Record and PEO services in Cyprus. Our directory includes a list of top-rated service providers, along with detailed information about local employment laws, tax regulations, and business practices. Choose the best EOR or PEO service provider today.","1","active","2023-06-29 15:00:39","2023-04-17 18:56:47"
